SubjectNo,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,EC1,EC2,EC3,EC4,EC5,EC6,EC7,EC8,EC9,EC10
P04,3,2,3,2,4,4,2,3,1,3,4,4,3,4,4,3,4,4,4,3,3,2
P05,3,3,4,2,2,3,2,3,3,3,4,2,3,4,2,4,3,2,3,3,4,3
P06,3,4,4,2,1,4,2,1,4,4,4,1,3,1,4,2,4,2,3,2,4,2
P07,4,3,4,3,3,3,3,3,4,2,4,3,4,2,3,2,2,2,3,2,2,2
P08,3,2,4,2,2,2,1,1,3,2,4,1,3,2,3,1,3,2,3,1,2,1
P09,4,3,4,2,4,3,2,2,3,3,4,3,3,2,2,2,3,1,3,3,2,3
P10,3,3,3,2,1,2,2,2,2,3,4,1,3,1,3,3,4,3,2,1,2,2
P11,3,2,4,2,2,3,2,2,2,4,4,1,3,2,2,1,2,2,3,2,4,3
P12,3,3,4,3,3,4,2,3,4,3,4,2,2,2,3,2,4,2,2,2,3,2
P13,3,2,3,2,1,2,1,2,3,2,3,2,3,3,3,2,3,3,3,3,3,2
P14,3,3,4,4,4,3,2,2,3,4,4,1,3,3,3,2,4,3,3,2,4,3
P15,3,2,3,2,2,3,3,1,4,2,4,3,4,1,4,3,4,3,4,2,4,2
P16,4,2,3,4,2,2,2,2,2,3,4,1,3,2,3,2,3,2,2,2,3,2
P17,3,4,4,2,4,4,4,2,4,4,4,3,3,4,3,2,3,3,2,3,4,2
P18,3,3,4,3,3,3,2,1,4,3,4,1,3,2,3,2,3,3,3,2,4,2
P19,3,3,4,3,2,1,3,3,3,3,4,2,4,2,4,2,4,2,3,2,3,2
P20,3,4,4,3,4,3,4,4,4,4,4,4,4,2,4,2,4,3,4,2,3,3
P21,4,3,3,3,4,4,2,3,4,3,4,2,3,3,3,2,3,2,3,2,3,2
P22,3,3,3,4,2,3,1,3,1,4,2,1,3,3,3,2,4,2,4,3,3,2
P23,3,3,4,2,1,3,3,1,4,4,4,2,3,2,3,2,4,3,3,4,2,3
P24,3,4,4,2,1,3,1,1,4,4,4,1,4,4,2,2,3,3,3,2,4,3
P25,2,3,2,1,2,3,1,3,2,3,2,2,2,2,1,2,2,2,2,2,3,2
P26,3,3,4,3,3,3,2,2,3,4,4,2,4,3,3,2,3,3,3,2,,
