Object,Scene,Response,Rt
Pomegranate,Gym,Familiar,1.383431
ClothesBasket,Museum,New,1.366915
NailScissors,StorageRoom,Seen,1.283485
HandHeldRadio,None,New,1.249884
HTCViveController,Gym,Familiar,1.883509
JBLSpeaker,Office,Seen,1.10014
Padella,None,New,1.499836
Marmite_FLIPPED,KTV,Seen,0.8505974
FirstAidKit,Classroom,New,1.316555
Official hat,Cafe,New,1.367176
BandShell,Kindergarten,New,1.183613
OldRadio,KTV,New,1.450256
MechanicalGloves,None,New,1.366676
Jam,Cafe,New,1.58469
Coconut,None,New,1.933441
OfficeBin,Kitchen,New,2.600128
MokaEspress,Lounge,Familiar,1.233761
CottonSticks,None,New,1.517834
Vanish_FLIPPED,Kitchen,Seen,1.083633
Downy,MeetingRoom,Familiar,1.316704
Spoons,SPA,New,1.449997
Laptop_FLIPPED,Library,Seen,1.053139
BaseballBat,None,Familiar,1.016815
Pumpkin,None,Familiar,1.30014
Ketchup_FLIPPED,Library,Familiar,1.116814
Chips,Kindergarten,New,1.066963
Broccoli,SPA,Seen,1.116859
MosquitoRacket,None,New,1.933571
Canister,Kitchen,Seen,1.300056
RasberryJam_FLIPPED,LivingRoom,Familiar,0.9335403
MetalBucket,None,Familiar,1.233414
Scent,KTV,Seen,1.250313
FiellaCase,Office,New,1.233589
CinRoll,None,New,0.9666901
Mango,StorageRoom,Familiar,1.550148
Pineapple,ArtStudio,Familiar,1.166992
Car01,None,New,1.166901
RugbyBall,None,New,0.950325
Leaf,Lounge,New,1.100174
Grape,None,New,1.117149
TennisBall,None,Familiar,1.150185
Openner,None,Seen,1.016602
Car02,Gym,New,1.11837
Slippers,Cafe,New,1.166733
Wheels,MeetingRoom,New,1.766685
SaltSub,Museum,New,2.067146
Headphones,Kindergarten,Familiar,3.449974
Weimeng,None,Familiar,1.567032
Toothpaste,Kitchen,Familiar,1.467041
FacialCream,None,Seen,1.60083
Router,None,New,2.034088
Hammer,MeetingRoom,New,1.382858
Honey,None,New,1.083572
CoffeePot,Bedroom,New,1.566666
PiggyBank,None,New,1.416809
RoadCone,Kindergarten,Familiar,1.483353
CleaningBucket,Gym,New,1.433228
Clock_FLIPPED,Kitchen,Familiar,0.9000702
Candle Lattern,None,Familiar,1.267288
Icecream,Library,New,1.550659
PaperCoffeeCup,Library,New,1.299866
Bus,Museum,New,1.584213
Chaynik,KTV,Familiar,2.116959
HTCVive,None,Familiar,1.466843
StrawberryDonut,Kitchen,New,1.033371
Recorder,None,New,1.366379
Mouse,ArtStudio,New,1.717117
Skateboard,StorageRoom,New,1.866486
Garlic,None,Familiar,1.166656
Sandals,Museum,New,1.650009
BirdCage,Library,New,1.250153
Tide_FLIPPED,Office,Seen,1.033508
SecurityCam,Classroom,Familiar,1.166611
Apple,None,Familiar,0.9834595
PencilSharpener,SPA,New,1.033569
Lipsticks,None,New,1.066849
Pinza,Cafe,Familiar,1.299774
Motorbike,Cafe,New,1.100769
Deer,None,New,1.283401
Toaster,None,New,0.9339905
CacerolaPan,None,Familiar,1.599991
LegoTruck,SPA,New,1.151199
RetroFan,ArtStudio,New,1.217484
FireHydrant,StorageRoom,New,1.13327
Perrier_FLIPPED,MeetingRoom,Seen,0.9170685
Typewriter,Museum,New,0.8666077
UGGboot,SPA,Seen,1.350128
Pears,LivingRoom,Seen,0.9338379
Cocktail,None,New,1.183105
Squeezer,None,Familiar,1.150177
NikonCamera,None,Familiar,1.250351
Brush,Kindergarten,Seen,1.633499
Carrots,None,Seen,1.016785
Clamps,Bedroom,Familiar,1.500061
Paprika,None,Familiar,1.000046
Avocado,Bedroom,Seen,0.9499207
Kettle,ArtStudio,Familiar,1.550354
YellowDuck,None,Familiar,1.033463
Teacup,Lounge,Familiar,0.9837036
Basket,None,Familiar,1.216858
Oranges,Library,Seen,1.317047
Ganmianzhang,MeetingRoom,Seen,1.116699
Cabbaage,ArtStudio,Familiar,1.750244
Cheese,None,New,1.200195
PaintBucket,StorageRoom,Familiar,1.716827
Caiban,Bedroom,New,1.333344
Xmas Globe,KTV,New,2.800781
BallonDog,None,New,0.9168396
HandDrill,None,Familiar,2.149994
CokeBottle,None,Familiar,1.000092
FireExtinguisher_FLIPPED,Office,Familiar,1.48349
Flower,None,New,1.300262
Kiwi,Cafe,Familiar,1.383636
Calculator_FLIPPED,Kindergarten,New,2.216827
OrangeJuice_FLIPPED,Gym,New,1.716919
DeskLight,Classroom,Familiar,1.116913
Dish,Classroom,Familiar,1.983276
Cupcake,Lounge,New,2.083496
Lotion,Museum,Seen,1.500214
Banana,None,Familiar,1.416962
Suitcase_FLIPPED,Bedroom,Familiar,1.433563
IceBoots,LivingRoom,Familiar,1.700134
CoffeeMachine,SPA,Familiar,1.400696
Matrioshka,StorageRoom,Familiar,2.083466
AmazonEcho,MeetingRoom,New,1.450073
Stapler,None,Seen,1.600281
Lasagna,ArtStudio,New,2.483398
Shoe,KTV,Familiar,1.683472
MilkCarton,Gym,New,1.116791
ShowerHead,Office,Familiar,1.750183
Mushroom,None,Familiar,1.200226
Basketball,LivingRoom,Familiar,1.216675
ToothBrush,None,New,1.516907
Printer,None,New,1.449799
Cube,Lounge,New,1.133362
Buiscuits,Bedroom,New,1.950317
Muffin,None,New,1.750244
Highlighter,LivingRoom,Seen,1.533752
Burger,Lounge,Familiar,1.250549
Dog,LivingRoom,Familiar,1.483551
Controller,Classroom,Familiar,2.16684
PeanutButter,None,New,2.350159
Strawberries,Office,New,1.983765
CandyBar,Classroom,New,2.183411

