DeskLight,Bedroom,NoFlip
Teacup,None,NoFlip
Ganmianzhang,None,NoFlip
Leaf,Library,NoFlip
CacerolaPan,Classroom,NoFlip
HandDrill,Classroom,Flip
MosquitoRacket,None,NoFlip
UGGboot,Bedroom,Flip
Pears,None,NoFlip
Printer_FLIPPED,Museum,Flip
Xmas Globe,Kitchen,Flip
Buiscuits,Office,NoFlip
FiellaCase,Library,Flip
ClothesBasket,Office,Flip
PaintBucket,ArtStudio,Flip
Cheese,None,NoFlip
Basketball,None,NoFlip
Oranges,Museum,NoFlip
Cucumber,Kindergarten,NoFlip
Weimeng,Lounge,NoFlip
Garlic,SPA,Flip
Typewriter,Office,Flip
Slippers,Cafe,Flip
OldRadio,None,NoFlip
OrangeJuice_FLIPPED,KTV,Flip
EggBeater,None,NoFlip
AmazonEcho,None,NoFlip
HandHeldRadio,Kitchen,NoFlip
Coconut,Library,Flip
CoffeePot,Gym,Flip
Markers,Kindergarten,Flip
ToothBrush,MeetingRoom,Flip
RetroFan,Bedroom,NoFlip
Basket,None,NoFlip
Cube,None,NoFlip
MechanicalGloves,None,NoFlip
CleaningBucket,ArtStudio,Flip
Toaster,None,NoFlip
Carrots,LivingRoom,NoFlip
Strawberries,Office,Flip
Controller,Classroom,NoFlip
Brush,None,NoFlip
Clamps,MeetingRoom,Flip
CottonSticks,Lounge,NoFlip
RoadCone,Kitchen,NoFlip
Spoons,Museum,Flip
YellowDuck,StorageRoom,NoFlip
Canister,None,NoFlip
Bus,None,NoFlip
Watermelon,None,NoFlip
RockingHorse,Kitchen,Flip
FireExtinguisher,ArtStudio,NoFlip
Chips,None,NoFlip
Car01,None,NoFlip
Ketchup_FLIPPED,Kitchen,Flip
PiggyBank,None,NoFlip
Mixer,LivingRoom,Flip
Broccoli,StorageRoom,NoFlip
Glasses,StorageRoom,Flip
BirdCage,SPA,NoFlip
Toothpaste,None,NoFlip
Matrioshka,None,NoFlip
Skateboard,Lounge,NoFlip
Headphones,None,NoFlip
MetalBucket,None,NoFlip
Cabbaage,Kindergarten,NoFlip
Lasagna,Museum,NoFlip
Grape,None,NoFlip
Paprika,None,NoFlip
Calculator_FLIPPED,KTV,Flip
HTCViveController,StorageRoom,NoFlip
Burger,SPA,NoFlip
MilkCarton_FLIPPED,Library,Flip
Candle Lattern,None,NoFlip
Motorbike,None,NoFlip
Muffin,SPA,NoFlip
CandyBar,MeetingRoom,NoFlip
Pineapple,None,NoFlip
LegoTruck,LivingRoom,NoFlip
Squeezer,MeetingRoom,Flip
OfficeBin,None,NoFlip
Wheels,Kindergarten,Flip
Router,None,NoFlip
FirstAidKit,None,NoFlip
Downy,None,NoFlip
FireHydrant,Classroom,Flip
SecurityCam,None,NoFlip
Flower,MeetingRoom,NoFlip
Tide,LivingRoom,NoFlip
RasberryJam,Office,NoFlip
Cereal_FLIPPED,Lounge,Flip
Kiwi,Bedroom,Flip
Mouse,Cafe,Flip
Jug,MeetingRoom,NoFlip
Shoe,Cafe,NoFlip
Recorder,Lounge,Flip
Honey,None,NoFlip
CinRoll,KTV,NoFlip
Vanish_FLIPPED,LivingRoom,Flip
Dish,None,NoFlip
HTCVive,None,NoFlip
PeanutButter_FLIPPED,ArtStudio,Flip
PencilSharpener,LivingRoom,Flip
Clock,Cafe,NoFlip
Openner,None,NoFlip
ShowerHead,Gym,Flip
BallonDog,KTV,Flip
Kettle,Classroom,Flip
Stapler,None,NoFlip
Jam,Kitchen,NoFlip
Banana,KTV,NoFlip
Apple,Office,NoFlip
Mushroom,Classroom,NoFlip
MobilePhone,None,NoFlip
Scent,None,NoFlip
Marmite,Library,NoFlip
Official hat,Cafe,NoFlip
MokaEspress,Kindergarten,NoFlip
CokeBottle,None,NoFlip
Perrier_FLIPPED,SPA,Flip
Sandals,None,NoFlip
Mango,StorageRoom,Flip
Pomegranate,ArtStudio,NoFlip
Cocktail,None,NoFlip
Suitcase,None,NoFlip
Lipsticks,Library,NoFlip
Chaynik,Museum,NoFlip
BandShell,Bedroom,NoFlip
NikonCamera,KTV,NoFlip
Lotion,None,NoFlip
Deer,Lounge,Flip
PaperCoffeeCup,Gym,NoFlip
Cake_FLIPPED,Bedroom,Flip
Cupcake,Museum,Flip
Icecream,Kindergarten,Flip
Pumpkin,Gym,NoFlip
JBLSpeaker,StorageRoom,Flip
RugbyBall,Cafe,Flip
Pinza,None,NoFlip
TennisBall,Gym,Flip
BaseballBat,None,NoFlip
Dog,ArtStudio,NoFlip
Car02,SPA,Flip
Padella,Gym,NoFlip
