Room,Object,Order
Bedroom,MilkCarton,1
Bedroom,HTCViveController,2
Bedroom,HandDrill,3
Bedroom,Mouse,4
Bedroom,PiggyBank,5
Bedroom,Padella,6
LivingRoom,PencilSharpener,1
LivingRoom,Toaster,2
LivingRoom,Squeezer,3
LivingRoom,Teacup,4
LivingRoom,Paprika,5
LivingRoom,Pineapple,6
Library,Mushroom,1
Library,BaseballBat,2
Library,Spoons,3
Library,MokeExpress,4
Library,Muffin,5
Library,Openner,6
Classroom,MechanicalGloves,1
Classroom,SaltSub,2
Classroom,OfficeBin,3
Classroom,Apple,4
Classroom,Calculator,5
Classroom,JBLSpeaker,6
StorageRoom,NikonCamera,1
StorageRoom,Controller,2
StorageRoom,Cabbaage,3
StorageRoom,EggBeater,4
StorageRoom,Headphones,5
StorageRoom,Typewriter,6
Gym,Avocado,1
Gym,CleaningBucket,2
Gym,Grape,3
Gym,RugbyBall,4
Gym,Kettle,5
Gym,Stapler,6
