"SubjectNo","Familiar_Early","Familiar_Late","Novel_Early","Novel_Late"
"P13",0.0555555555555556,0.5,0.166666666666667,0.5
"P14",0.333333333333333,0.111111111111111,0.555555555555556,0.444444444444444
"P15",0.0555555555555556,0.0555555555555556,0.0555555555555556,0.166666666666667
"P16",0.111111111111111,0.555555555555556,0.222222222222222,0.333333333333333
"P18",0.222222222222222,0,0.111111111111111,0
"P19",0.166666666666667,0.277777777777778,0.0555555555555556,0.388888888888889
"P20",0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111
"P22",0.111111111111111,0,0,0.277777777777778
"P23",0.277777777777778,0,0.5,0.0555555555555555
"P24",0.0555555555555556,0.0555555555555556,0.166666666666667,0.166666666666667
"P26",0.166666666666667,0.388888888888889,0.5,0.722222222222222
"P27",0.388888888888889,0.277777777777778,0.388888888888889,0.166666666666667
"P28",0.0555555555555556,0,0.277777777777778,0.0555555555555556
"P29",0.333333333333333,0.333333333333333,0.222222222222222,0.222222222222222
"P30",0.0555555555555556,0.0555555555555556,0,0
"P31",0.166666666666667,0.166666666666667,0,0
"P32",0.388888888888889,0.166666666666667,0.277777777777778,0.0555555555555556
"P33",0,0.111111111111111,0.333333333333333,0
"P34",0,0,0.111111111111111,0.111111111111111
"P35",0,0,0.0555555555555556,0.166666666666667
"P36",0,0,0.277777777777778,0.0555555555555555
"P37",0.222222222222222,0.666666666666667,0.777777777777778,0.222222222222222
"P38",0.222222222222222,0.333333333333333,0.333333333333333,0.333333333333333
"P39",0.333333333333333,0.333333333333333,0.444444444444444,0
"P40",0.111111111111111,0,0,0
"P42",0.555555555555556,0.333333333333333,0.444444444444444,0.333333333333333
"P43",0.388888888888889,0.5,0.722222222222222,0.5
"P44",0.333333333333333,0.111111111111111,0.222222222222222,0.111111111111111
"P45",0.222222222222222,0.111111111111111,0.333333333333333,0
"P46",0.277777777777778,0.166666666666667,0.277777777777778,0.166666666666667
"P47",0.388888888888889,0.166666666666667,0.5,0.277777777777778
"P48",0.5,0.611111111111111,0.277777777777778,0.5
"P49",0.277777777777778,0.166666666666667,0.5,0.277777777777778
"P50",0,0,0.222222222222222,0
"P52",0.266666666666667,0.266666666666667,0.433333333333333,0.433333333333333
"P53",0.111111111111111,0.111111111111111,0,0
"P55",0.166666666666667,0.0555555555555556,0.388888888888889,0.388888888888889
"P56",0.333333333333333,0.555555555555556,0.222222222222222,0.111111111111111
"P57",0.111111111111111,0.333333333333333,0.555555555555556,0.666666666666667
"P58",0.222222222222222,0,0,0.111111111111111
